ts,split,track,season,round,seed,episode_idx,return,episode_length,pit_count,avg_lap_time,final_position
2026-02-10T19:08:38,val_pre,Austin,2018,1,20250601,0,-174.22881078720093,55,55,119.22255225914797,20
2026-02-10T19:08:41,val_pre,Austin,2018,1,20250601,1,-186.1484227180481,55,55,121.16019886038376,20
2026-02-10T19:08:45,val_pre,Austin,2018,1,20250601,2,-185.32679772377014,55,55,121.02663587720164,20
2026-02-10T19:08:48,val_pre,Baku,2018,1,20250601,0,-119.96577286720276,50,9,111.24365995641081,18
2026-02-10T19:08:51,val_pre,Baku,2018,1,20250601,1,-234.815505027771,50,50,131.22653131911812,20
2026-02-10T19:08:54,val_pre,Baku,2018,1,20250601,2,-219.78639936447144,50,50,128.53909448936605,20
2026-02-10T19:08:58,val_pre,Budapest,2018,1,20250601,0,32.60336723923683,69,2,85.87241801024312,16
2026-02-10T19:09:02,val_pre,Budapest,2018,1,20250601,1,-108.08879864215851,69,69,104.504283772433,20
2026-02-10T19:09:06,val_pre,Budapest,2018,1,20250601,2,-120.2741584777832,69,69,106.08321917765957,20
2026-02-10T19:09:10,val_pre,Catalunya,2018,1,20250601,0,-76.32261276245117,65,54,100.97201995774057,20
2026-02-10T19:09:14,val_pre,Catalunya,2018,1,20250601,1,-100.48279428482056,65,65,103.44289524209212,20
2026-02-10T19:09:18,val_pre,Catalunya,2018,1,20250601,2,-99.32274913787842,65,65,104.34878883525874,20
2026-02-10T19:09:22,val_pre,LeCastellet,2018,1,20250601,0,-210.04638504981995,52,52,121.45225788178944,20
2026-02-10T19:09:25,val_pre,LeCastellet,2018,1,20250601,1,-57.37978404760361,52,1,100.21749165153801,19
2026-02-10T19:09:28,val_pre,LeCastellet,2018,1,20250601,2,-183.18437322974205,52,44,118.03901521323898,20
2026-02-10T19:09:31,val_pre,Melbourne,2018,1,20250601,0,-19.551036790013313,57,10,91.53669869189537,20
2026-02-10T19:09:35,val_pre,Melbourne,2018,1,20250601,1,-111.81259673833847,57,48,105.5224497925219,20
2026-02-10T19:09:38,val_pre,Melbourne,2018,1,20250601,2,-134.26348841190338,57,57,110.01599669644327,20
2026-02-10T19:09:43,val_pre,MexicoCity,2018,1,20250601,0,-107.40083312988281,70,70,104.22206627756348,20
2026-02-10T19:09:47,val_pre,MexicoCity,2018,1,20250601,1,-88.15696024894714,70,70,101.76413606391661,20
2026-02-10T19:09:51,val_pre,MexicoCity,2018,1,20250601,2,36.85042321681976,70,6,85.79752557359322,20
2026-02-10T19:09:56,val_pre,MonteCarlo,2018,1,20250601,0,88.28078109025955,77,1,79.92984008309462,17
