ts,split,track,season,round,seed,episode_idx,return,episode_length,pit_count,avg_lap_time,final_position
2026-02-10T12:42:55,val_pre,Austin,2018,1,20250601,0,-70.04697233438492,55,4,102.28826205872086,15
2026-02-10T12:42:58,val_pre,Austin,2018,1,20250601,1,-163.4118486046791,55,46,117.44946670976645,20
2026-02-10T12:43:03,val_pre,Austin,2018,1,20250601,2,-163.3986892104149,55,46,117.4357157199205,20
2026-02-10T12:43:06,val_pre,Baku,2018,1,20250601,0,-202.54071640968323,50,42,126.01234432415542,20
2026-02-10T12:43:10,val_pre,Baku,2018,1,20250601,1,-222.42069005966187,50,50,130.39562082468655,20
2026-02-10T12:43:14,val_pre,Baku,2018,1,20250601,2,-222.43244314193726,50,50,130.39796339201345,20
2026-02-10T12:43:19,val_pre,Budapest,2018,1,20250601,0,-129.30113649368286,69,69,106.65409064031748,20
2026-02-10T12:43:24,val_pre,Budapest,2018,1,20250601,1,-122.66439044475555,69,69,106.19817350073332,20
2026-02-10T12:43:29,val_pre,Budapest,2018,1,20250601,2,-122.64990675449371,69,69,106.19871249281613,20
2026-02-10T12:43:34,val_pre,Catalunya,2018,1,20250601,0,-112.72646725177765,65,65,106.1979122234964,20
2026-02-10T12:43:38,val_pre,Catalunya,2018,1,20250601,1,-19.954662680625916,65,33,94.0488130243097,20
2026-02-10T12:43:43,val_pre,Catalunya,2018,1,20250601,2,-20.051439106464386,65,33,94.0488130243097,20
2026-02-10T12:43:47,val_pre,LeCastellet,2018,1,20250601,0,-76.63287717103958,52,5,101.76352510118916,20
2026-02-10T12:43:51,val_pre,LeCastellet,2018,1,20250601,1,-179.29016363620758,52,45,120.0813228469731,20
2026-02-10T12:43:54,val_pre,LeCastellet,2018,1,20250601,2,-178.79897606372833,52,45,120.0813228469731,20
2026-02-10T12:43:59,val_pre,Melbourne,2018,1,20250601,0,-4.946170274168253,57,5,90.9479627701561,20
2026-02-10T12:44:03,val_pre,Melbourne,2018,1,20250601,1,-137.4101630449295,57,57,110.1767597369313,20
2026-02-10T12:44:07,val_pre,Melbourne,2018,1,20250601,2,-136.6453207731247,57,57,110.15657926170068,20
2026-02-10T12:44:12,val_pre,MexicoCity,2018,1,20250601,0,-120.15051460266113,70,70,105.84504609794693,20
2026-02-10T12:44:17,val_pre,MexicoCity,2018,1,20250601,1,-112.01294577121735,70,70,104.98941324678812,20
2026-02-10T12:44:22,val_pre,MexicoCity,2018,1,20250601,2,-112.12530648708344,70,70,104.98941324678812,20
2026-02-10T12:44:28,val_pre,MonteCarlo,2018,1,20250601,0,-80.12654948234558,77,77,100.09505439643787,20
2026-02-10T12:44:34,val_pre,MonteCarlo,2018,1,20250601,1,-73.02430260181427,77,77,97.78126482410188,20
2026-02-10T12:44:40,val_pre,MonteCarlo,2018,1,20250601,2,-71.87474438548088,77,77,97.77833440765997,20
2026-02-10T12:44:44,val_pre,Montreal,2018,1,20250601,0,-51.103957414627075,67,67,96.90448519992796,20
2026-02-10T12:44:49,val_pre,Montreal,2018,1,20250601,1,-54.62918967008591,67,67,96.77210142338052,20
2026-02-10T12:44:54,val_pre,Montreal,2018,1,20250601,2,-54.46417126059532,67,67,96.76748379386814,20
2026-02-10T12:44:58,val_pre,Monza,2018,1,20250601,0,-130.1775300502777,52,52,112.21826466292961,20
2026-02-10T12:45:02,val_pre,Monza,2018,1,20250601,1,16.058914590626955,52,1,88.13978955692129,18
2026-02-10T12:45:05,val_pre,Monza,2018,1,20250601,2,16.06003237888217,52,1,88.13978955692129,18
2026-02-10T12:45:10,val_pre,Sakhir,2018,1,20250601,0,-75.46827524900436,56,5,101.71331721229579,20
2026-02-10T12:45:14,val_pre,Sakhir,2018,1,20250601,1,-187.6623091697693,56,56,119.63451350835676,20
2026-02-10T12:45:18,val_pre,Sakhir,2018,1,20250601,2,-187.54917335510254,56,56,119.62277467831713,20
2026-02-10T12:45:23,val_pre,SaoPaulo,2018,1,20250601,0,-35.77437910437584,70,70,94.29411105468104,20
2026-02-10T12:45:29,val_pre,SaoPaulo,2018,1,20250601,1,-45.476659059524536,70,70,95.35246891818038,20
2026-02-10T12:45:34,val_pre,SaoPaulo,2018,1,20250601,2,-45.31087416410446,70,70,95.34835371303737,20
